id_paquete,peso_kg,distancia_km,tipo_servicio,es_fragil,costo_envio
PKG-0001,25.98,671.4,Express,No,123.79
PKG-0002,8.9,225.7,Estandar,No,39.34
PKG-0003,2.66,473.6,Estandar,Si,59.34
PKG-0004,23.02,89.3,Estandar,No,56.9
PKG-0005,13.86,68.2,Estandar,No,40.89
PKG-0006,16.5,42.3,Estandar,Si,50.81
PKG-0007,21.94,510.3,Express,No,100.18
PKG-0008,25.54,567.2,Estandar,No,90.8
PKG-0009,23.16,708.7,Express,No,118.99
PKG-0010,22.13,580.2,Express,Si,118.53
PKG-0011,7.64,60.0,Express,No,39.0
PKG-0012,21.75,390.7,Estandar,No,71.94
PKG-0013,2.22,494.4,Express,No,62.98
PKG-0014,,33.3,Express,Si,55.53
PKG-0015,18.51,131.7,Express,No,63.9
PKG-0016,8.05,655.1,Estandar,No,71.38
PKG-0017,8.93,56.4,Mismo_Dia,No,63.04
PKG-0018,20.69,110.3,Mismo_Dia,No,76.88
PKG-0019,25.31,,Express,No,92.34
PKG-0020,24.37,659.2,Estandar,No,105.86
PKG-0021,0.5,545.2,Mismo_Dia,No,78.13
PKG-0022,27.75,788.0,Express,No,133.76
PKG-0023,24.31,453.4,Estandar,No,88.7
PKG-0024,28.7,761.8,Estandar,No,113.93
PKG-0025,14.8,627.0,Express,No,86.47
PKG-0026,20.05,,Express,No,100.99
PKG-0027,22.15,582.7,Mismo_Dia,Si,132.56
PKG-0028,14.25,263.9,Mismo_Dia,No,79.29
PKG-0029,24.26,48.1,Estandar,No,51.03
PKG-0030,13.42,204.1,Express,Si,62.57
PKG-0031,4.31,12.0,Express,No,27.44
PKG-0032,19.44,432.3,Express,Si,103.83
PKG-0033,14.62,23.7,Mismo_Dia,No,61.52
PKG-0034,19.91,585.5,Express,Si,116.85
PKG-0035,2.96,506.7,Express,No,65.7
PKG-0036,20.08,436.4,Express,Si,105.43
PKG-0037,14.98,423.6,Estandar,No,64.04
PKG-0038,22.78,168.6,Estandar,No,61.8
PKG-0039,13.12,783.1,Mismo_Dia,Si,135.41
PKG-0040,10.23,354.3,Express,No,62.94
PKG-0041,,693.8,Express,No,105.63
PKG-0042,27.63,,Estandar,Si,111.86
PKG-0043,9.57,692.2,Estandar,No,78.83
PKG-0044,29.56,,Mismo_Dia,No,92.09
PKG-0045,3.86,723.6,Mismo_Dia,No,95.37
PKG-0046,29.13,779.1,Estandar,No,118.43
PKG-0047,26.26,102.7,Mismo_Dia,No,93.06
PKG-0048,28.44,518.0,Express,Si,119.07
PKG-0049,7.48,573.6,Estandar,No,62.48
PKG-0050,25.8,616.0,Estandar,Si,110.15
PKG-0051,24.2,762.6,Mismo_Dia,No,143.4
PKG-0052,,798.1,Estandar,No,76.47
PKG-0053,9.23,83.9,Mismo_Dia,No,63.59
PKG-0054,17.23,339.5,Express,No,71.39
PKG-0055,26.41,253.4,Express,No,90.48
PKG-0056,1.62,402.3,Estandar,No,41.83
PKG-0057,11.11,318.8,Estandar,Si,66.85
PKG-0058,19.78,118.1,Express,No,60.86
PKG-0059,22.43,105.7,Estandar,Si,62.66
PKG-0060,28.87,220.3,Estandar,No,79.32
PKG-0061,4.15,,Estandar,No,49.81
PKG-0062,12.3,12.7,Estandar,Si,34.88
PKG-0063,16.82,202.6,Estandar,Si,67.6
PKG-0064,14.54,417.5,Estandar,No,62.43
PKG-0065,15.34,,Estandar,No,79.18
PKG-0066,12.05,462.1,Mismo_Dia,Si,100.51
PKG-0067,29.29,716.7,Estandar,No,117.11
PKG-0068,1.59,575.0,Estandar,Si,60.72
PKG-0069,5.65,272.4,Express,No,46.9
PKG-0070,11.83,246.1,Express,No,56.2
PKG-0071,15.39,578.4,Estandar,No,81.07
PKG-0072,11.43,64.2,Estandar,Si,48.85
PKG-0073,23.56,187.2,Estandar,No,62.38
PKG-0074,22.39,656.0,Estandar,Si,109.53
PKG-0075,0.64,281.1,Express,Si,55.59
PKG-0076,19.38,463.1,Estandar,No,76.08
PKG-0077,13.02,38.2,Estandar,Si,38.71
PKG-0078,8.26,77.8,Estandar,No,21.51
PKG-0079,8.44,341.4,Estandar,No,46.28
PKG-0080,0.59,324.0,Express,No,44.46
PKG-0081,14.46,317.4,Estandar,No,53.77
PKG-0082,16.44,247.6,Mismo_Dia,Si,102.67
PKG-0083,24.37,774.7,Express,No,118.08
PKG-0084,,26.3,Mismo_Dia,No,56.68
PKG-0085,26.81,407.3,Express,No,95.99
PKG-0086,15.17,148.6,Mismo_Dia,No,75.38
PKG-0087,11.34,266.4,Estandar,No,56.36
PKG-0088,29.27,253.0,Express,No,90.52
PKG-0089,12.2,265.6,Estandar,No,54.2
PKG-0090,4.66,616.7,Estandar,No,63.8
PKG-0091,26.13,381.2,Express,No,96.52
PKG-0092,20.06,600.1,Mismo_Dia,Si,137.94
PKG-0093,25.41,702.1,Estandar,No,109.8
PKG-0094,1.48,362.9,Mismo_Dia,No,72.41
PKG-0095,11.56,64.6,Estandar,Si,38.89
PKG-0096,5.45,127.1,Estandar,Si,32.43
PKG-0097,20.16,400.5,Express,No,87.38
PKG-0098,8.72,197.4,Estandar,No,36.56
PKG-0099,2.91,89.6,Estandar,No,12.12
PKG-0100,19.7,423.3,Estandar,No,76.2
PKG-0101,29.97,45.5,Mismo_Dia,No,96.64
PKG-0102,22.14,366.9,Mismo_Dia,No,107.4
PKG-0103,22.77,718.8,Express,No,114.55
PKG-0104,16.83,534.3,Estandar,No,78.39
PKG-0105,17.57,266.1,Express,No,64.48
PKG-0106,22.84,606.2,Estandar,No,93.26
PKG-0107,,181.8,Express,No,62.18
PKG-0108,14.57,762.1,Estandar,No,91.22
PKG-0109,27.64,606.8,Estandar,No,104.75
PKG-0110,14.69,666.9,Estandar,Si,92.37
PKG-0111,6.61,750.6,Express,No,84.75
PKG-0112,11.62,163.6,Estandar,No,38.18
PKG-0113,4.64,503.1,Estandar,No,49.76
